id,condition,written_response,age,sex,political_affiliation,conspllm_score,loco_discriminability,consent,moderators_1,moderators_2,moderators_3,moderators_4,moderators_5,moderators_6,moderators_7,moderators_8,moderators_9,moderators_10,moderators_11,moderators_12,moderators_13,moderators_14,moderators_15,moderators_16,moderators_17,moderators_18,moderators_19,moderators_20,moderators_21,moderators_22,moderators_23,moderators_24,moderators_25,moderators_26,moderators_27,moderators_28,moderators_29,moderators_30,manip_1,manip_2,manip_3,manip_4,manip_5,manip_6,gcbs_1,gcbs_2,gcbs_3,gcbs_4,gcbs_5,gcbs_6,gcbs_7,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
11,public_control,"Honestly this whole thing seems kinda sketchy to me. The city keeps saying everything is 100% safe, but if thats true then why are people noticing changes in the water and these random pressure drops? Then you got the company execs selling a bunch of stock and the independant water testing board getting shut down right after. Maybe its all just a coincidence, but it doesnt really look good from the outside. Im not saying theres some huge conspiracy or anything, but I think residents deserve more transparancy and actual test results from someone who isnt connected to the city or the company. Just feels like there are more questions than answers right now.",19,Male,Independent,3,0.014540076,1,5,4,3,3,3,5,3,2,3,3,5,3,4,5,3,4,3,2,3,5,5,3,5,3,3,4,4,3,3,5,5,5,4,4,3,4,2,2,2,3,3,3,3,114,31.8,5.8,95.02,61.63,19,21.05,90.35,71.93,55.26,12.28,4.39,2.63,0,0.88,0,0,7.89,15.79,7.89,0.88,9.65,7.02,7.02,11.4,2.63,17.54,7.89,6.14,0.88,0,0,0.88,32.46,1.75,23.68,5.26,2.63,0.88,8.77,1.75,7.89,0,2.63,2.63,0,0.88,0.88,0,0,0,0,0,11.4,3.51,0,0,0,0.88,2.63,3.51,0,0,0,0,0,0,0,0,6.14,0,0.88,4.39,0.88,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0.88,0,7.02,10.53,1.75,0,7.89,0.88,0,0.88,4.39,0,10.53,0,0.88,0.88,0,0,0,8.77,4.39,2.63,0.88,0,0,0.88,0
12,private_control,"I think that our water isn't safe to drink.  There are multiple red flags that are being ignored.  Why would the mayor be playing off these red flags as something minor.  Is aegis dynamics going out of business, if they are then who will be responsible for fixing their system.  If water quality has been affected, how will this impact the people now and future generations.  Why would the mayor disband the water quality testing board.  This makes no sense and we have no department to test the quality of our odd tasting water.",39,Male,Independent,2,0.0070959926,1,2,2,2,2,5,5,5,2,5,2,5,2,2,2,3,3,2,2,2,3,5,5,5,2,3,4,2,5,2,4,1,1,6,1,1,6,4,3,3,4,3,3,4,94,13.92,65.16,21.81,35.29,13.43,17.02,84.04,72.34,56.38,13.83,7.45,1.06,3.19,0,0,2.13,6.38,15.96,5.32,0,8.51,15.96,5.32,6.38,3.19,24.47,7.45,1.06,3.19,3.19,0,0,30.85,2.13,17.02,3.19,7.45,2.13,3.19,0,4.26,0,3.19,2.13,1.06,0,0,0,0,0,0,0,10.64,1.06,0,0,0,0,0,9.57,0,0,0,0,2.13,2.13,0,0,6.38,1.06,0,5.32,1.06,0,2.13,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,1.06,1.06,7.45,8.51,1.06,1.06,2.13,2.13,0,1.06,4.26,3.19,8.51,4.26,0,0,0,0,0,10.64,7.45,2.13,0,0,1.06,0,0
13,public_savvy,"Honestly you guys, giving the totality of what has gone down; between Aegis Dynamics selling off stock and the independent water testing board being disbanded, we need to address this as a community. I think we need to boost this to local and regional news stations so that SOMEONE can truly investigate it. I've",28,Female,Independent,2,0.005644202,1,2,3,2,1,5,4,3,3,4,4,5,5,4,3,3,2,3,5,3,3,5,5,5,4,4,4,3,5,4,4,4,4,5,2,2,2,2,2,2,3,3,3,3,54,44.1,92.24,17.46,NA,18,25.93,81.48,72.22,53.7,20.37,9.26,3.7,3.7,1.85,0,0,11.11,11.11,5.56,0,14.81,7.41,3.7,7.41,0,20.37,5.56,0,5.56,5.56,0,0,20.37,0,16.67,3.7,0,5.56,1.85,3.7,1.85,0,0,0,0,0,0,0,0,0,0,0,12.96,1.85,0,0,0,0,1.85,11.11,0,0,0,1.85,0,0,0,0,5.56,0,0,3.7,1.85,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,3.7,9.26,0,1.85,7.41,0,0,0,0,3.7,3.7,0,0,0,0,0,0,11.11,3.7,3.7,0,0,1.85,1.85,0
14,public_savvy,"I'm not buying the just calibration explanation at face value. Pressure fluctuations and a weird metallic taste would have already made me cautious, but then you add the timing of the executives cashing out stock and the city shutting down its independent water testing board? That just makes it even more suspicious.

I'm not saying we should panic or jump to wild conclusions, but acting like there's nothing worth questions here feels pretty naive. People should at least be demanding independent testing and transparency instead of just repeating official reassurance.",36,Female,Independent,3,0.01341331,1,3,1,1,1,3,3,3,3,3,5,3,3,3,5,3,5,4,5,3,4,4,6,4,4,3,4,3,3,3,4,5,6,3,6,5,5,1,1,1,2,1,1,2,90,27.51,3.95,93.95,9.52,18,26.67,90,71.11,52.22,8.89,5.56,3.33,1.11,1.11,0,0,3.33,10,5.56,0,8.89,8.89,10,7.78,3.33,17.78,12.22,3.33,4.44,1.11,0,3.33,28.89,1.11,21.11,5.56,2.22,3.33,3.33,0,8.89,0,3.33,1.11,2.22,2.22,0,2.22,1.11,0,0,0,6.67,2.22,0,0,0,0,1.11,3.33,0,0,0,0,0,0,0,0,6.67,0,0,3.33,3.33,0,2.22,0,0,0,0,0,0,1.11,0,0,0,1.11,0,0,0,0,1.11,1.11,8.89,12.22,1.11,1.11,6.67,1.11,0,1.11,4.44,2.22,5.56,0,0,0,0,0,0,11.11,4.44,2.22,1.11,0,3.33,0,0
15,private_savvy,It seems odd that all of this has recently happened after a new contract has been signed. It seems to me like someone is trying to hide the results of the water tests and are disbanding groups that may go against the narrative. This all seems to be too closely related to just be a coincidence. I think someone needs to look into what is going on with the water.,51,Male,Republican,3,0.01457721,1,4,2,2,1,2,2,1,5,2,6,4,1,1,4,1,2,1,5,5,1,6,4,2,2,6,6,6,5,1,4,2,2,6,1,3,5,3,3,4,4,3,3,4,70,72.76,32.05,72.58,20.23,17.5,17.14,91.43,81.43,64.29,15.71,2.86,2.86,0,0,0,0,12.86,17.14,8.57,0,18.57,12.86,4.29,2.86,0,27.14,2.86,2.86,1.43,0,1.43,0,34.29,2.86,18.57,7.14,1.43,2.86,8.57,0,2.86,0,2.86,1.43,1.43,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,2.86,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,1.43,1.43,4.29,8.57,1.43,2.86,4.29,2.86,0,0,4.29,2.86,12.86,2.86,0,0,0,0,0,5.71,5.71,0,0,0,0,0,0
16,public_savvy,"Clearly the issues with the water and the recent developments are connected. I believe the contract for the sensors was completed...but then during the installation, it came to light that the product wasn't what it was supposed to be. The executives realized that there was going to be blowback, so they sold off their stocks and bought out the testing board.",36,Female,Republican,2,-0.0075769722,1,5,3,3,3,3,4,3,3,3,4,4,4,4,4,4,5,4,4,4,3,5,4,3,3,4,5,4,5,3,5,5,5,5,5,4,5,3,3,3,2,2,4,3,62,56.16,23.05,35.88,NA,20.67,22.58,88.71,72.58,62.9,12.9,4.84,1.61,0,0,0,3.23,8.06,19.35,14.52,0,11.29,12.9,4.84,8.06,1.61,24.19,0,0,1.61,0,0,1.61,25.81,0,11.29,3.23,0,3.23,0,1.61,3.23,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,11.29,0,0,8.06,4.84,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,3.23,8.06,0,1.61,4.84,1.61,0,0,4.84,14.52,1.61,6.45,0,0,0,0,0,14.52,9.68,3.23,0,0,1.61,0,0
17,public_control,"It is frustrating that we, as citizens, really have no say in what happens to our water or even food. These companies sell large portions of their companies' stocks and now our water tastes funny. As citizens, there really is nothing we can do about this situation. We will never know the whole truth and probably cannot even trust that the water is 100% safe. It is probably cheaper for this company to pay a settlement from being sued because of the water, then spend the money to fix the water and make it safe.",45,Female,Republican,2,0.043270588,1,2,2,2,1,5,4,4,2,5,1,4,1,2,4,2,1,2,4,3,4,6,4,3,5,5,4,4,5,2,5,2,3,6,5,5,2,3,3,3,4,4,3,4,95,12.74,80.45,1.68,52.78,19,15.79,90.53,76.84,62.11,15.79,6.32,0,5.26,0,0,1.05,9.47,15.79,6.32,1.05,11.58,10.53,10.53,8.42,4.21,17.89,6.32,3.16,6.32,6.32,0,0,22.11,3.16,11.58,1.05,2.11,2.11,3.16,2.11,2.11,0,4.21,3.16,1.05,2.11,1.05,1.05,0,1.05,0,0,11.58,2.11,0,0,0,0,1.05,8.42,0,0,0,0,2.11,2.11,0,0,9.47,0,0,4.21,6.32,0,2.11,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,2.11,0,9.47,3.16,0,0,2.11,0,0,0,3.16,0,9.47,1.05,0,0,0,0,0,11.58,5.26,4.21,0,0,1.05,1.05,0
18,public_control,I love the filtration system but the pressure and taste will need to be addressed. It's not fair to deal with this and not have say as a community. Decisions like these need to involve the community as it's the city's money. Why did the people not have say before the switch was made to this new company?,23,Female,Independent,1,0.0021515936,1,3,2,2,1,2,2,1,6,1,6,2,1,1,2,2,1,1,3,5,2,6,6,5,1,5,4,1,6,4,5,3,3,6,5,2,1,3,3,3,3,3,3,3,58,58.3,6.07,7.91,91.69,14.5,13.79,87.93,74.14,60.34,10.34,1.72,1.72,0,0,0,0,8.62,17.24,12.07,0,15.52,13.79,1.72,10.34,5.17,22.41,3.45,0,3.45,3.45,0,0,27.59,0,15.52,1.72,3.45,3.45,0,0,6.9,0,5.17,5.17,0,1.72,1.72,0,0,0,0,0,12.07,5.17,0,0,0,0,3.45,5.17,0,0,0,0,0,0,0,0,5.17,0,0,3.45,1.72,0,1.72,0,0,0,0,0,0,1.72,0,3.45,0,0,0,0,0,0,0,0,15.52,1.72,0,0,0,0,0,0,3.45,5.17,3.45,1.72,0,0,0,0,0,12.07,5.17,0,1.72,0,5.17,0,0
19,public_control,it sound like the company knows that they messed up and are trying to cover it up I would be very worried about drinking this water and I think that in the meantime residents need to test their water independently or at the very minimum be filtering the water on their own. I wouldn't be surprised if the filters are either not working or dumping metals into the water.,23,Female,Independent,3,-0.018845797,1,3,4,3,4,4,2,3,4,3,5,4,2,2,4,2,2,2,4,6,3,5,6,3,1,6,5,5,5,1,6,2,2,5,2,3,3,2,3,2,4,4,4,4,69,38.85,2.33,44.75,7.29,34.5,18.84,85.51,73.91,63.77,15.94,8.7,4.35,0,0,0,4.35,7.25,17.39,8.7,0,14.49,10.14,5.8,8.7,2.9,17.39,4.35,1.45,4.35,0,2.9,1.45,24.64,0,20.29,2.9,0,5.8,4.35,0,8.7,0,2.9,0,1.45,2.9,0,1.45,1.45,0,0,0,5.8,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,5.8,0,1.45,4.35,0,0,1.45,0,0,0,0,0,0,1.45,0,1.45,0,0,0,0,0,0,0,1.45,2.9,8.7,1.45,0,5.8,0,1.45,0,1.45,0,4.35,0,0,0,0,0,0,4.35,2.9,0,0,0,1.45,0,0
20,public_control,something seems off. the city disbanded their board. they are bending to the will of where the money is. they are doign anything aegis dynamics wants even if it is at the expense of its residents. they do not truly care about the people and only care about money. how can we trust the local government to do what is right,23,Female,Democrat,3,0.03886339,1,2,5,1,2,4,4,2,2,4,2,6,3,3,1,4,5,1,3,5,5,3,3,5,2,4,3,3,4,2,3,5,5,6,2,1,5,2,3,2,3,4,3,4,61,27.14,76.91,6.65,71.67,10.17,13.11,91.8,75.41,67.21,16.39,8.2,0,1.64,0,0,6.56,8.2,13.11,9.84,0,13.11,14.75,11.48,3.28,1.64,21.31,3.28,0,4.92,3.28,0,1.64,24.59,0,14.75,3.28,1.64,3.28,6.56,1.64,3.28,0,3.28,3.28,0,0,0,0,0,0,0,0,16.39,4.92,3.28,0,0,0,0,9.84,0,0,0,0,1.64,1.64,0,0,6.56,0,1.64,0,4.92,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,6.56,6.56,0,0,6.56,0,0,0,0,0,13.11,3.28,0,0,0,0,0,8.2,8.2,0,0,0,0,0,0
21,public_savvy,"We're outwardly being told that everything is fine and things are under control with the water supply. If everything is under control, then why is Aegis stock being sold at such a rate? Why is the independent board being disbanded? What else is going on behind closed doors that we just haven't heard about yet?",23,Female,Independent,3,0.0152834505,1,4,4,4,4,4,5,4,3,4,3,5,4,3,4,4,4,4,4,4,2,5,4,3,3,5,4,4,5,3,6,5,5,5,4,2,2,2,2,2,3,2,2,3,55,8.65,29.95,74.91,47.86,13.75,12.73,90.91,81.82,67.27,14.55,3.64,0,3.64,0,0,0,10.91,10.91,5.45,0,12.73,20,10.91,5.45,1.82,27.27,7.27,1.82,7.27,3.64,0,3.64,36.36,3.64,16.36,0,7.27,1.82,3.64,0,7.27,0,1.82,1.82,0,0,0,0,0,0,0,0,5.45,1.82,0,0,0,0,1.82,3.64,0,0,0,0,0,0,0,0,3.64,0,0,1.82,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,1.82,10.91,0,1.82,0,3.64,7.27,12.73,1.82,0,0,0,0,0,12.73,1.82,1.82,5.45,0,3.64,0,0
